T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,03/29/1999,3.75,03/29/1999,3.7406249046325684,-0.002500025431315104
T2,07/16/1999,3.46875,07/16/1999,3.440624952316284,-0.008108121854764921
T3,09/09/2002,0.7559999823570251,09/09/2002,0.8255000114440918,0.09193125755159724
T4,01/14/2004,2.7309999465942383,01/14/2004,2.7899999618530273,0.021603814138614872
T5,10/18/2005,2.246000051498413,10/18/2005,2.2325000762939453,-0.006010674485720203
T6,12/19/2012,13.0649995803833,12/19/2012,12.899499893188477,-0.012667408535038682
T7,03/02/2016,29.087499618530273,03/02/2016,29.010499954223633,-0.002647173710922467
T8,03/07/2016,28.677000045776367,03/07/2016,28.139999389648438,-0.018725830988971272
T9,03/28/2016,29.219999313354492,03/28/2016,28.993499755859375,-0.007751525079317832
T10,01/06/2017,39.11800003051758,01/06/2017,39.79949951171875,0.01742163404748468
T11,11/04/2019,90.05049896240234,11/04/2019,90.23300170898438,0.002026671131030927
T12,11/06/2020,165.23199462890625,11/06/2020,165.56849670410156,0.0020365430796321312
T13,04/05/2021,158.64999389648438,04/05/2021,161.3365020751953,0.016933553621589326
Sum,,,,,0.007195593344915286
