T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,09/14/2006,10.1176176071167,09/26/2006,10.18193244934082,0.006356718026077823
T2,09/27/2006,10.167668342590332,10/09/2006,10.735735893249512,0.05586999216719709
T3,10/13/2011,13.764514923095703,10/25/2011,14.59359359741211,0.060233047001553366
T4,05/20/2015,27.54599952697754,06/02/2015,27.697500228881836,0.005499916666880164
T5,06/03/2015,27.7549991607666,06/15/2015,27.149999618530273,-0.021797858422980324
T6,07/13/2015,27.975500106811523,07/23/2015,33.73649978637695,0.2059301766749375
T7,07/08/2019,56.29349899291992,07/18/2019,57.36199951171875,0.018980886566195048
T8,07/19/2019,57.465999603271484,07/31/2019,60.90999984741211,0.05993109434999824
Sum,,,,,0.04887549662873236
