T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,02/23/1987,0.1473092429690523,03/13/1987,0.1792621612548828,0.21691047786148357
T2,03/11/1991,0.8816897667249497,04/01/1991,0.9250157475471497,0.04913971155992315
T3,02/12/1992,1.5418737225297352,03/04/1992,1.5922404527664185,0.03266592425873055
T4,10/04/1994,2.183643861250444,10/24/1994,2.295750141143799,0.05133908595752346
T5,12/14/1994,2.4371027004106245,01/05/1995,2.324995994567871,-0.04599999245984368
T6,09/03/1996,4.757225469047726,09/23/1996,5.371373653411865,0.12909797703724896
T7,08/05/2003,16.467546676374482,08/25/2003,16.586469650268555,0.007221657010068649
T8,06/07/2007,21.83434350668027,06/27/2007,21.72524642944336,-0.004996581518630588
T9,11/27/2007,24.363248819807747,12/17/2007,25.18341636657715,0.033664128821054046
T10,05/05/2014,33.74039321465945,05/23/2014,34.49428939819336,0.022344024823230564
T11,06/29/2017,64.50360057044838,07/20/2017,69.00342559814453,0.06976083486659956
T12,12/05/2017,76.40772230270359,12/26/2017,80.2215347290039,0.04991396564853982
T13,08/01/2019,131.96626941058148,08/21/2019,134.13563537597656,0.016438791329666403
T14,08/12/2020,200.18042804169306,09/01/2020,222.1490936279297,0.10974432316460553
T15,09/22/2021,292.7054198498477,10/12/2021,288.9076232910156,-0.01297480778039671
Sum,,,,,0.04828463470532021
