T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,03/20/1991,0.8578600883483887,04/08/1991,0.9650929570198059,0.12500041688367777
T2,03/12/1996,3.7531394062092036,03/28/1996,3.9870994091033936,0.062337147004751785
T3,07/09/1996,4.713355661403239,07/25/1996,4.620745658874512,-0.019648422309203727
T4,08/13/1998,16.240852211443546,08/31/1998,14.963808059692383,-0.07863159735246766
T5,02/25/1999,23.76662342400815,03/15/1999,25.87227439880371,0.08859697640803754
T6,01/06/2005,18.891094091122863,01/25/2005,18.30712127685547,-0.030912598891866698
T7,06/15/2005,17.98289359156122,07/01/2005,17.494394302368164,-0.02716466550312521
T8,04/17/2012,25.17723698930042,05/03/2012,25.571760177612305,0.015669836546382893
T9,12/24/2013,31.11654142515292,01/13/2014,29.64206314086914,-0.04738567388122036
T10,10/08/2014,39.34691959872178,10/24/2014,39.90927505493164,0.014292235883901981
T11,06/04/2015,41.292106622024036,06/22/2015,40.79790496826172,-0.01196842917911881
T12,07/05/2018,94.31263493019095,07/23/2018,102.34102630615234,0.08512530035772944
T13,08/27/2019,131.8161387511605,09/13/2019,132.7149658203125,0.00681879379617375
T14,05/11/2021,240.21752237514028,05/27/2021,245.4586944580078,0.021818442014744283
Sum,,,,,0.014567697269885497
