T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,10/18/1982,0.07977771232588578,10/22/1982,0.08974922448396683,0.1249912020207874
T2,10/26/1982,0.08454669988934072,11/01/1982,0.0927848368883133,0.09743889483273856
T3,11/11/1982,0.10752612601463644,11/17/1982,0.10882674902677536,0.01209587902350239
T4,01/27/1983,0.13223975611870284,02/02/1983,0.14871519804000854,0.12458766111544245
T5,02/08/1983,0.14654749531707337,02/14/1983,0.1604217141866684,0.0946738723823049
T6,03/02/1983,0.16085526441519057,03/08/1983,0.14698109030723572,-0.08625253365748489
T7,04/27/1983,0.17342880085406046,05/03/1983,0.16822631657123566,-0.02999781038215599
T8,05/16/1983,0.18426830645456352,05/20/1983,0.19727538526058197,0.07058771557780452
T9,12/27/1984,0.09625318646430969,01/03/1985,0.09842094033956528,0.02252137258914934
T10,01/08/1985,0.09798737675727143,01/14/1985,0.10622547566890717,0.08407306312569907
T11,01/10/1986,0.07847630283864197,01/16/1986,0.08498024195432663,0.08287774628039812
T12,02/13/1986,0.08324606742460305,02/20/1986,0.08714795112609863,0.04687168802333589
T13,03/27/1986,0.09798737615346909,04/03/1986,0.09365193545818329,-0.044244890163153
T14,04/30/1986,0.10839322466905199,05/06/1986,0.11316221207380295,0.04399709870530847
T15,05/21/1986,0.12270095344666798,05/28/1986,0.12920498847961426,0.05300720858516603
T16,09/02/1986,0.12877134470028676,09/08/1986,0.12053322046995163,-0.06397482490774037
T17,11/12/1986,0.12400159934349865,11/18/1986,0.12270095199346542,-0.010488956246687466
T18,12/08/1986,0.1513165483116019,12/12/1986,0.14307917654514313,-0.05443800997558965
T19,01/26/1987,0.17342878562914993,01/30/1987,0.19250637292861938,0.11000242681894726
T20,02/25/1987,0.22719236736463921,03/03/1987,0.22545820474624634,-0.007633014429615849
T21,04/13/1987,0.2428007790622315,04/20/1987,0.2467026710510254,0.016070343776754592
T22,05/08/1987,0.2792207856167817,05/14/1987,0.27530384063720703,-0.014028128210163094
T23,07/23/1987,0.29875233702379556,07/29/1987,0.28485625982284546,-0.04651370208308455
T24,08/18/1987,0.3426175983439977,08/24/1987,0.3634878993034363,0.06091427019602252
T25,08/27/1987,0.3634878011542573,09/02/1987,0.36174872517585754,-0.004784413597587828
T26,10/05/1987,0.40696689110781986,10/09/1987,0.37653157114982605,-0.07478573963386723
T27,10/03/1988,0.30154388454984205,10/07/1988,0.2787526547908783,-0.07558180061581252
T28,01/16/1989,0.30409716164085465,01/20/1989,0.28827667236328125,-0.05202445557929193
T29,05/19/1989,0.31551159488402575,05/25/1989,0.3409339487552643,0.08057502254578999
T30,06/02/1989,0.34270018713919675,06/08/1989,0.3365171253681183,-0.01804218965473472
T31,09/01/1989,0.3151817782298865,09/08/1989,0.31872376799583435,0.011237926842853144
T32,12/03/1990,0.26776670602818753,12/07/1990,0.3055056035518646,0.1409394695982269
T33,01/28/1991,0.38278066959234436,02/01/1991,0.4007520079612732,0.04694944075433077
T34,02/04/1991,0.40075201417321954,02/08/1991,0.43040376901626587,0.07399028275433636
T35,03/15/1991,0.47363054269730026,03/21/1991,0.4664264917373657,-0.015210275331712897
T36,04/08/1991,0.49884295146978275,04/12/1991,0.516851007938385,0.03609965103354396
T37,08/14/1991,0.39540057637341464,08/20/1991,0.36914992332458496,-0.06639002221392482
T38,09/03/1991,0.381816817485507,09/09/1991,0.3854357898235321,0.009478294753641843
T39,02/04/1992,0.47705897688865667,02/10/1992,0.4580124318599701,-0.03992492742282461
T40,08/04/1994,0.24728172609371768,08/10/1994,0.258479505777359,0.04528349045653889
T41,08/16/1994,0.25750226443789415,08/22/1994,0.26124754548072815,0.014544652844159013
T42,10/18/1994,0.30432034551783127,10/24/1994,0.3164931833744049,0.040000078982101395
T43,10/31/1994,0.3146205682337238,11/04/1994,0.30244767665863037,-0.03869070494479082
T44,01/19/1995,0.3418642148861293,01/25/1995,0.30793604254722595,-0.09924458560310087
T45,05/19/1995,0.32302723555991714,05/25/1995,0.3267941176891327,0.011661190495860988
T46,07/19/1995,0.355087353307305,07/25/1995,0.3456432819366455,-0.026596473466871887
T47,01/15/1998,0.1458110213279724,01/22/1998,0.14628596603870392,0.003257262080780672
T48,03/06/1998,0.1814329187742407,03/12/1998,0.20517994463443756,0.13088598265756607
T49,03/23/1998,0.19710620537516105,03/27/1998,0.20470505952835083,0.03855207977205255
T50,04/03/1998,0.206130636493375,04/09/1998,0.19473162293434143,-0.05529994838685682
T51,05/14/1998,0.23082757448963465,05/20/1998,0.22465355694293976,-0.02674731370524423
T52,07/23/1998,0.26454970753433393,07/29/1998,0.26692426204681396,0.008975834955976491
T53,08/21/1998,0.3039709964737932,08/27/1998,0.28497231006622314,-0.06250164202494247
T54,01/05/1999,0.3186944822067996,01/11/1999,0.3486163914203644,0.09388900933072507
T55,05/06/1999,0.35384146357524504,05/12/1999,0.35336658358573914,-0.00134206993354503
T56,08/20/1999,0.4502569030925188,08/26/1999,0.4721049964427948,0.04852361662911949
T57,09/14/1999,0.5678083710509589,09/20/1999,0.6008172035217285,0.05813375454411387
T58,10/27/1999,0.5651961341738249,11/02/1999,0.6098415851593018,0.07899107634686384
T59,11/15/1999,0.6810844933725948,11/19/1999,0.7024576663970947,0.03138108888467601
T60,01/28/2000,0.8221464000221674,02/03/2000,0.7850998044013977,-0.0450608256872144
T61,03/10/2000,0.9247364499048952,03/16/2000,0.9237856864929199,-0.0010281452754166767
T62,03/30/2000,1.014977147200767,04/05/2000,0.9907554984092712,-0.02386423069553559
